x,y,theta
-0.0424,-0.1787,-0.09
-0.0213,-0.1817,-0.14
0.004,-0.1579,-0.03
0.0207,-0.1874,0.02
0.0136,-0.212,-0.02
0.0079,-0.2069,-0.12
0.0197,-0.168,-0.1
0.0274,-0.1764,-0.06
0.0352,-0.213,-0.06
0.0395,-0.2478,-0.07
0.0451,-0.2013,-0.07
0.0626,-0.1797,-0.04
0.0671,-0.2094,-0.04
0.067,-0.2446,-0.04
0.0727,-0.2188,-0.03
0.0854,-0.1974,-0.03
0.0882,-0.212,-0.03
0.0844,-0.2536,-0.03
0.0847,-0.2586,-0.04
0.0888,-0.1995,-0.08
0.0803,-0.207,-0.1
0.0763,-0.2329,-0.1
0.1244,-0.2252,-0.08
0.1473,-0.2089,-0.04
0.1089,-0.1943,-0.07
0.088,-0.217,-0.08
0.1207,-0.2,-0.07
0.1599,-0.186,-0.06
0.1622,-0.1998,-0.07
0.1386,-0.2213,-0.09
0.1387,-0.2174,-0.05
0.1781,-0.202,0.01
0.1691,-0.2163,0.02
0.1501,-0.2458,-0.02
0.1633,-0.227,-0.04
0.1667,-0.181,0.03
0.1405,-0.2048,0.08
0.1297,-0.2336,0.06
0.1396,-0.192,-0.02
0.1488,-0.1399,-0.07
0.1197,-0.1237,-0.02
0.0953,-0.1477,0.01
0.1341,-0.1421,0.02
0.1721,-0.1243,0
0.1487,-0.1177,-0.06
0.1054,-0.134,-0.05
0.1348,-0.1254,-0.04
0.1891,-0.1168,-0.03
0.1635,-0.1235,-0.06
0.1052,-0.1186,-0.04
0.116,-0.096,-0.02
0.1581,-0.0951,0
0.1584,-0.1305,-0.01
0.1265,-0.1607,-0.02
0.1149,-0.1219,0
0.144,-0.1005,0.02
0.1422,-0.1467,0.02
0.1299,-0.1674,-0.02
0.1406,-0.1262,-0.04
0.169,-0.1044,-0.02
0.1665,-0.132,0
0.1518,-0.1759,-0.01
0.1513,-0.1339,-0.04
0.1704,-0.1049,-0.03
0.1613,-0.1409,-0.02
0.1485,-0.176,-0.02
0.1662,-0.1638,-0.03
0.1818,-0.1278,-0.05
0.1712,-0.1246,-0.04
0.1532,-0.1646,-0.03
0.181,-0.1579,-0.02
0.1871,-0.1092,-0.08
0.1497,-0.106,-0.1
0.144,-0.1158,-0.1
0.1726,-0.1144,-0.09
0.2061,-0.0825,-0.06
0.1816,-0.0449,-0.04
0.152,-0.0618,-0.03
0.1763,-0.0672,-0.02
0.2176,-0.0579,-0.01
0.1938,-0.0236,-0.02
0.1604,-0.0223,-0.09
0.1618,-0.0326,-0.1
0.2047,-0.0321,-0.08
0.229,-0.0162,-0.03
0.1982,-0.0071,-0.05
0.1541,-0.0302,-0.06
0.1779,-0.0398,-0.05
0.2114,-0.0294,-0.02
0.196,-0.0124,-0.03
0.1841,0.0159,-0.1
0.2017,0.0321,-0.09
0.2292,0.0332,-0.03
0.2174,0.0383,-0.02
0.2048,0.0518,-0.07
0.1951,0.0473,-0.06
0.2059,0.0534,-0.01
0.2112,0.0674,0.06
0.2,0.0668,-0.05
0.1985,0.0591,-0.11
0.215,0.0483,-0.07
0.2232,0.0705,0.02
0.2111,0.0945,-0.01
0.2056,0.0924,-0.06
0.221,0.0778,-0.06
0.2421,0.0815,0
0.2289,0.1028,0.05
0.1865,0.0822,-0.03
0.1858,0.0644,-0.05
0.1876,0.0722,0.01
0.2001,0.1014,0.06
0.2087,0.1256,0.02
0.1982,0.1182,-0.02
0.1731,0.1016,-0.03
0.1795,0.1006,-0.02
0.1862,0.1114,-0.09
0.1738,0.1033,-0.08
0.1696,0.1079,0
0.1564,0.1044,0.04
0.1673,0.1127,-0.03
0.179,0.1331,-0.09
0.1796,0.138,0
0.1773,0.1348,0.07
0.1865,0.1237,0.04
0.1951,0.1304,-0.05
0.2051,0.1396,0
0.1968,0.1354,0.12
0.1927,0.1352,0.02
0.1936,0.1424,-0.07
0.201,0.158,0.03
0.1799,0.148,0.16
0.1588,0.1314,0.07
0.1468,0.1285,-0.06
0.1502,0.1423,-0.02
0.156,0.1528,0.08
0.1574,0.1569,0.04
0.1528,0.1529,-0.06
0.1518,0.1517,-0.06
0.1589,0.1604,0.02
0.1602,0.1608,0.02
0.1561,0.1514,0
0.1368,0.1346,0.02
0.1421,0.142,0.07
0.155,0.154,0.02
0.1476,0.145,0
0.1403,0.1366,0.06
0.1397,0.1368,0.08
0.1474,0.1527,0
0.1453,0.1523,-0.05
0.1376,0.1427,0.04
0.1335,0.1396,0.08
0.1461,0.1504,0.01
0.1582,0.1601,-0.06
0.1434,0.1474,0.03
0.1297,0.1377,0.1
0.1375,0.152,0.05
0.1508,0.1655,-0.05
0.148,0.1503,-0.02
0.129,0.1365,0.08
0.1188,0.1467,0.06
0.1191,0.1806,0.01
0.08,0.1847,-0.05
0.0321,0.1569,0.05
0.0277,0.1318,0.09
0.0441,0.1351,0.05
0.0506,0.1662,0.02
0.0308,0.1759,-0.01
-0.0128,0.1654,0.01
-0.0127,0.1603,-0.01
0.0158,0.1756,-0.09
0.0249,0.1981,-0.07
0.0055,0.1689,0.02
0,0.1723,0.02
0.0136,0.1976,0
0.0105,0.2247,0.01
-0.0182,0.2164,-0.01
-0.0262,0.1783,-0.04
-0.0171,0.1667,-0.03
-0.0061,0.2089,-0.02
-0.0131,0.2389,-0.03
-0.0528,0.2136,-0.03
-0.0663,0.2039,-0.01
-0.068,0.2223,0.02
-0.0643,0.2608,0.01
-0.0717,0.2591,-0.04
-0.0863,0.2116,-0.02
-0.0936,0.2173,0.02
-0.0932,0.2429,0.01
-0.1023,0.2534,-0.04
-0.0894,0.2336,-0.01
-0.0828,0.2245,0.05
-0.0805,0.2484,0.06
-0.1022,0.2617,-0.03
-0.1031,0.2579,-0.07
-0.079,0.2183,0.02
-0.0651,0.2053,0.07
-0.0655,0.2179,0.07
-0.0859,0.227,0
-0.1056,0.1982,0.01
-0.0954,0.1827,0.05
-0.076,0.201,0.03
