X,Y,theta
-0.665,0.1057,0.03
-0.6679,0.0984,0.02
-0.6692,0.0902,0.02
-0.6701,0.0776,0.01
-0.6732,0.0654,0.01
-0.6759,0.0552,0.01
-0.6781,0.0478,0
-0.6783,0.04,0
-0.678,0.0287,0
-0.6782,0.0194,-0.01
-0.6778,0.0107,-0.02
-0.6768,-0.0005,-0.02
-0.6737,-0.0129,-0.02
-0.6719,-0.0229,-0.02
-0.6703,-0.0324,-0.03
-0.6686,-0.0439,-0.03
-0.6655,-0.0527,-0.03
-0.6633,-0.0624,-0.03
-0.6613,-0.0754,-0.04
-0.6586,-0.0846,-0.04
-0.6558,-0.0949,-0.04
-0.6532,-0.1059,-0.05
-0.651,-0.1148,-0.05
-0.6481,-0.1242,-0.05
-0.6447,-0.1364,-0.05
-0.6398,-0.146,-0.05
-0.6344,-0.1586,-0.06
-0.6276,-0.172,-0.06
-0.6217,-0.1822,-0.06
-0.6158,-0.1918,-0.07
-0.6099,-0.2036,-0.07
-0.6014,-0.2121,-0.07
-0.5947,-0.2517,-0.07
-0.5854,-0.2688,-0.08
-0.5769,-0.2776,-0.08
-0.571,-0.2855,-0.08
-0.5656,-0.2972,-0.09
-0.5579,-0.3072,-0.09
-0.5507,-0.3174,-0.09
-0.5436,-0.3287,-0.09
-0.5365,-0.3365,-0.1
-0.53,-0.3474,-0.1
-0.5205,-0.3581,-0.1
-0.5124,-0.3653,-0.1
-0.5052,-0.3723,-0.1
-0.4989,-0.3822,-0.1
-0.4892,-0.3893,-0.1
-0.4803,-0.399,-0.1
-0.4704,-0.4063,-0.1
-0.4629,-0.4156,-0.1
-0.4566,-0.4216,-0.1
-0.4467,-0.4294,-0.1
-0.4388,-0.4368,-0.1
-0.4314,-0.445,-0.1
-0.4245,-0.4541,-0.1
-0.412,-0.4625,-0.1
-0.4045,-0.4733,-0.1
-0.3958,-0.4817,-0.1
-0.3889,-0.4891,-0.1
-0.3819,-0.4953,-0.09
-0.3728,-0.5046,-0.09
-0.366,-0.5127,-0.09
-0.3588,-0.5224,-0.09
-0.3489,-0.53,-0.09
-0.3405,-0.5362,-0.09
-0.3349,-0.5429,-0.09
-0.328,-0.5522,-0.09
-0.3173,-0.5586,-0.09
-0.3102,-0.5654,-0.09
-0.3036,-0.5758,-0.09
-0.2934,-0.5855,-0.09
-0.2824,-0.5919,-0.09
-0.2726,-0.6012,-0.09
-0.2664,-0.6084,-0.08
-0.259,-0.6156,-0.08
-0.2512,-0.624,-0.08
-0.2423,-0.6,-0.08
-0.2372,-0.6081,-0.08
-0.2301,-0.615,-0.07
-0.2212,-0.6201,-0.07
-0.2141,-0.6249,-0.07
-0.2078,-0.6289,-0.06
-0.2014,-0.6329,-0.06
-0.1919,-0.6357,-0.06
-0.184,-0.641,-0.05
-0.1762,-0.6449,-0.05
-0.1661,-0.6479,-0.05
-0.1561,-0.6497,-0.04
-0.1482,-0.6538,-0.04
-0.14,-0.658,-0.04
-0.1321,-0.6609,-0.03
-0.1219,-0.6623,-0.03
-0.1139,-0.6636,-0.02
-0.1056,-0.667,-0.02
-0.0911,-0.6719,-0.01
-0.0835,-0.6744,-0.01
-0.0742,-0.6738,-0.01
-0.0662,-0.672,0
-0.0576,-0.6704,0
-0.0457,-0.6697,0
-0.0335,-0.667,0
-0.0243,-0.6621,0.01
-0.0123,-0.6594,0.01
-0.0037,-0.6574,0.01
0.0052,-0.6537,0.02
0.0176,-0.6499,0.02
0.0277,-0.6458,0.02
0.0382,-0.6425,0.02
0.0486,-0.639,0.03
0.0658,-0.6346,0.03
0.0766,-0.6291,0.03
0.0904,-0.6251,0.03
0.1002,-0.6513,0.03
0.1098,-0.6453,0.03
0.1231,-0.6401,0.03
0.1333,-0.6327,0.04
0.1471,-0.6273,0.04
0.1621,-0.6201,0.04
0.1738,-0.6143,0.04
0.1856,-0.6079,0.04
0.1962,-0.6005,0.04
0.2089,-0.596,0.04
0.2186,-0.5913,0.04
0.2286,-0.5841,0.04
0.2454,-0.5762,0.04
0.2557,-0.5718,0.04
0.2686,-0.5669,0.04
0.2774,-0.5616,0.04
0.2863,-0.555,0.04
0.2957,-0.547,0.04
0.3136,-0.5414,0.04
0.3269,-0.5344,0.04
0.3348,-0.5275,0.04
0.3425,-0.5182,0.04
0.3539,-0.5124,0.04
0.3651,-0.5045,0.04
0.3712,-0.4954,0.04
0.379,-0.4889,0.04
0.3867,-0.4829,0.04
0.3945,-0.4752,0.04
0.403,-0.4684,0.04
0.4095,-0.4613,0.04
0.4207,-0.451,0.04
0.4322,-0.4444,0.04
0.4394,-0.4362,0.04
0.449,-0.4249,0.04
0.4576,-0.4176,0.04
0.4659,-0.4105,0.04
0.4745,-0.4004,0.04
0.4804,-0.393,0.04
0.4903,-0.3849,0.04
0.4998,-0.3767,0.03
0.5057,-0.369,0.03
0.5114,-0.3614,0.03
0.5206,-0.3534,0.03
0.5277,-0.3474,0.03
0.534,-0.3373,0.03
0.5423,-0.3276,0.03
0.5523,-0.3223,0.02
0.5593,-0.3149,0.02
0.5655,-0.2776,0.02
0.5735,-0.2701,0.02
0.581,-0.2634,0.01
0.5885,-0.2567,0.01
0.5945,-0.2465,0.01
0.6019,-0.2388,0.01
0.6112,-0.2306,0
0.6182,-0.2216,0
0.6252,-0.2133,0
0.6291,-0.2048,0
0.633,-0.1977,-0.01
0.6372,-0.1886,-0.01
0.642,-0.1803,-0.01
0.6455,-0.1678,-0.01
0.6481,-0.1593,-0.02
0.6526,-0.1488,-0.02
0.6556,-0.1375,-0.02
0.6581,-0.1277,-0.02
0.6616,-0.1181,-0.02
0.6648,-0.1093,-0.03
0.6682,-0.0987,-0.03
0.6702,-0.0868,-0.03
0.6736,-0.0741,-0.03
0.6776,-0.0646,-0.04
0.6804,-0.0559,-0.04
0.6807,-0.0449,-0.05
0.6793,-0.0363,-0.05
0.6783,-0.0231,-0.05
0.6776,-0.0106,-0.05
0.676,-0.0019,-0.05
0.6741,0.0069,-0.06
0.6721,0.0201,-0.06
0.6685,0.0305,-0.06
0.6654,0.0403,-0.06
0.6616,0.0524,-0.07
0.6584,0.0656,-0.07
0.6554,0.0801,-0.07
0.6512,0.0897,-0.08
0.6446,0.0988,-0.08
0.6402,0.1082,-0.08
0.6359,0.1218,-0.08
0.6278,0.1315,-0.08
0.6183,0.1431,-0.09
0.6125,0.1544,-0.09
0.62,0.1631,-0.09
0.62,0.1716,-0.09
0.6407,0.1822,-0.09
0.6337,0.1941,-0.09
0.625,0.2061,-0.09
0.6167,0.2146,-0.09
0.6101,0.2227,-0.09
0.6041,0.2342,-0.09
0.5959,0.2436,-0.09
0.5889,0.2531,-0.09
0.5816,0.2646,-0.09
0.5725,0.2738,-0.09
0.5644,0.2874,-0.09
0.5576,0.2971,-0.09
0.5501,0.3089,-0.09
0.5413,0.318,-0.09
0.5352,0.3272,-0.09
0.528,0.3359,-0.09
0.5196,0.3471,-0.09
0.509,0.3561,-0.09
