1,2,3,4
-6.564,-47.819,-9.991,-41.33
-1.587,-48.341,0.642,-42.88
9.179,-44.803,10.669,-51.09
0.858,-49.189,-2.192,-57.04
-12.018,-55.485,-11.441,-49.83
-5.532,-56.405,-1.274,-43.81
9.827,-53.157,11.138,-47.38
4.755,-57.138,1.028,-54.45
-7.976,-62.162,-9.162,-63.8
-4.738,-63.311,-1.422,-60.64
7.334,-57.257,8.666,-42.1
0.43,-57.419,1.71,-38.79
-10.251,-63.901,-9.855,-44.28
0.43,-66.098,-0.75,-53.53
12.022,-52.125,12.965,-63.1
5.251,-49.759,3.119,-46.83
-7.251,-54.88,-9.867,-46.43
-1.332,-61.24,-2.168,-52.52
12.479,-57.837,7.677,-58.9
6.006,-54.151,-3.27,-59
-6.264,-57.075,-11.797,-58.77
-0.924,-62.281,-0.571,-64.11
12.778,-63.801,11.212,-67.41
4.825,-63.432,-0.677,-57.07
-8.926,-59.603,-10.515,-48.93
-2.206,-58.796,-1.471,-50.34
8.632,-61.697,8.855,-55.38
-0.386,-59.297,-1.598,-52.93
-9.586,-56.789,-13.05,-49.59
-3.917,-58.71,-7.955,-53.62
-3.314,-63.913,-6.112,-59.08
-14.585,-60.356,-16.957,-52.71
-25.77,-40.312,-28.398,-40.27
-17.454,-37.983,-16.365,-39.65
-0.441,-42.723,-6.216,-48.41
-5.081,-54.798,-14.516,-53.58
-17.381,-54.059,-23.858,-36.17
-19.137,-36.464,-19.01,-26.33
-7.191,-34.476,-8.26,-29.57
-12.287,-40.855,-15.195,-41.85
-26.044,-47.67,-26.633,-43.56
-33.153,-32.949,-35.42,-32.28
-27.376,-23.623,-28.694,-24.02
-27.102,-25,-30.645,-31.37
-39.991,-32.188,-42.262,-34.5
-42.384,-31.686,-50.334,-24.15
-31.696,-19.154,-34.793,-28.12
-29.773,-19.008,-34.113,-33.72
-37.363,-28.773,-44.121,-28.95
-46.794,-31.747,-48.758,-24.76
-50.375,-22.147,-43.478,-31.57
-37.157,-22.756,-43.367,-36.31
-33.435,-32.059,-54.056,-24.14
-38.884,-32.562,-56.794,-19.47
-46.287,-19.507,-41.997,-25.78
-48.775,-21.803,-40.125,-34.47
-54.543,-29.802,-47.529,-24.89
-61.527,-30.907,-56.883,-12.64
-65.009,-20.646,-55.563,-17.47
-64.302,-22.304,-53.893,-25.8
-65.918,-29.465,-58.254,-30.23
-72.254,-28.3,-64.758,-19.56
-72.933,-17.892,-66.837,-25.13
-58.148,-20.493,-53.509,-33.57
-53.663,-29.672,-48.338,-32.81
-55.776,-29.443,-53.86,-18.08
-64.731,-14.934,-62.138,-21.73
-69.608,-16.869,-61.712,-31.45
-49.987,-28.508,-60.482,-26.94
-46.076,-30.444,-65.771,-13.64
-48.569,-21.767,-70.284,-19.96
-54.947,-24.199,-69.586,-26.21
-61.677,-30.369,-67.013,-12.92
-62.285,-17.227,-71.393,0.1
-54.761,0.923,-75.401,-10.25
-54.688,-5.315,-68.363,-16.31
-61.847,-14.942,-57.678,-5.15
-65.663,-8.35,-56.583,2.09
-55.309,5.617,-62.242,-6.22
-52.833,-1.566,-64.471,-16.93
-54.002,-11.81,-50.224,-5.51
-59.405,-5.438,-42.825,5.31
-62.665,6.249,-48.052,-6.58
-46.193,-3.144,-57.447,-13.92
-43.21,-15.095,-56.55,-4
-45.996,-6.401,-41.658,9.15
-52.692,6.689,-40.279,0.11
-58.252,1.397,-47.227,-11.05
-60.012,-10.328,-55.833,-3.38
-55.031,-5.532,-57.845,8.6
-56.758,6.423,-42.118,-2.05
-61.652,-0.56,-40.643,-11.46
-65.07,-12.192,-47.437,-2.66
-61.107,-7.055,-55.261,8.05
-57.918,4.744,-55.352,2.06
-60.447,-3.552,-39.386,-8.59
-63.239,-11.889,-38.936,2.22
-62.723,-4.892,-45.406,10.9
-63.839,6.674,-53.438,3.5
-69.558,1.176,-45.302,-7.49
-68.496,-9.746,-47.423,2.49
-59.484,0.27,-54.675,10.33
-58.097,13.411,-61.404,0.97
-64.595,3.295,-44.713,-10.96
-65.701,-9.44,-42.15,-0.59
-52.47,-2.202,-46.781,11.11
-45.179,10.989,-56.925,3.6
-44.318,5.702,-55.459,-7.69
-52.82,-6.51,-40.421,3.06
-56.307,1.401,-41.711,12.25
-43.772,14.629,-47.516,3.67
-40.695,8.622,-52.005,-7.59
-44.912,-3.568,-39.727,2.46
-54.114,3.842,-42.086,12.67
-54.904,15.814,-47.711,3.81
-41.887,9.189,-56.498,-6.12
-39.304,-1.732,-57.152,0.69
-44.214,3.523,-40.422,11.3
-51.041,15.111,-40.908,0.51
-54.732,5.79,-47.866,-10.16
-52.406,-8.246,-53.119,-1.7
-50.245,-2.338,-40.478,10.07
-53.718,19.903,-41.314,6.7
-54.812,31.185,-48.31,18.47
-49.024,21.223,-55.503,28.02
-45.185,9.428,-43.046,23.24
-48.448,14.288,-28.375,15.91
-53.294,28.185,-30.936,22.86
-49.187,33.794,-40.561,32.93
-36.373,24.872,-42.837,39.53
-34.543,24.544,-31.056,28.48
-40.294,34.99,-31.72,30.25
-45.81,43.53,-44.44,42.15
-33.617,32.4,-48.582,46.05
-33.112,24.618,-34.437,34.56
-38.797,28.891,-26.682,25.15
-47.925,43.48,-32.226,30.86
-29.609,48.204,-38.633,44.33
-11.656,46.512,-26.857,54.22
-9.338,50.335,-20.102,52.83
-20.646,59.49,-25.008,38.69
-26.47,66.253,-32.523,41.41
-18.76,52.927,-19.982,49.12
-15.577,45.892,-15.94,58.67
-20.671,49.752,-24.534,61.5
-32.009,60.232,-32.417,45.99
-18.335,66.073,-22.095,46.03
-2.606,48.71,-15.14,51.51
-5.659,44.59,-19.494,59.48
-15.218,50.458,-29.98,64.61
-21.435,60.576,-23.427,70.36
-11.27,63.708,-8.224,71.88
-15.696,57.647,-10.955,71.03
-25.552,57.718,-21.077,73.35
-15.49,68.476,-5.347,78.48
-0.447,70.638,4.597,77.76
-4.116,58.083,-1.732,69.59
-12.636,51.606,-11.145,68.73
-5.753,57.411,-8.885,75.82
2.099,65.741,1.214,77.86
-4.421,68.153,-7.429,70.23
-15.615,65.969,-15.438,70.86
-8.763,68.343,-5.942,76.05
6.676,74.095,4.809,77.53
-0.952,76.9,-6.451,70.83
-14.348,74.939,-17.042,71.44
-9.275,74.561,-8.987,76.6
6.41,78.768,3.195,77.07
-1.124,82.388,-5.848,59.58
-10.715,74.4,-15.713,55.98
-2.891,61.959,-7.743,61.21
9.2,60.862,5.363,64.73
-0.877,67.401,-1.48,58.16
-10.061,68.543,-11.416,48.93
-3.902,49.857,-3.674,50.34
6.64,43.382,8.283,58.05
0.812,49.559,-1.409,61.78
-11.396,56.076,-10.324,45.99
-3.174,55.554,-0.453,44.49
7.763,41.086,10.774,51.13
1.549,36.93,-0.247,53.41
-10.118,43.53,-10.71,41.16
-1.994,52.191,-3.555,41.87
8.577,44.118,7.901,48.93
-1.735,42.69,-1.793,53.36
-11.654,49.508,-13.178,38.23
-5.364,58.193,-6.44,37.99
4.934,50.443,4.911,46.97
-0.617,35.745,-1.068,52.65
-11.381,35.866,-11.111,50.64
-0.463,46.071,-1.243,46.63
9.647,53.38,11.75,50.95
3.186,41.365,5.088,57.12
-7.284,29.371,-6.643,52.89
2.895,32.93,3.642,39.04
13.755,41.62,14.644,37.75
5.881,51.253,6.276,44.38
-5.462,47.077,-5.634,51.84
-3.126,37.665,-1.606,41.61
9.453,41.045,8.083,31.79
3.882,50.73,-0.407,37.19
-0.225,54.526,-2.745,45.7
5.226,52.435,5.581,49.07
24.88,53.162,25.429,37.69
33.279,59.702,30.322,41.46
24.669,59.537,21.367,48.41
24.543,47.524,24.873,47.56
33.68,47.9,35.092,44.74
43.707,57.057,40.891,51.35
33.865,63.178,38.903,53.74
23.827,45.959,35.242,39.19
26.255,32.974,40.227,39.26
38.161,33.903,46.317,44.31
44.719,44.068,44.646,52.52
34.124,48.007,41.132,45.54
34.214,32.385,46.869,34.89
41.324,33.25,51.502,39.21
48.24,43.407,44.24,46.09
45.122,51.87,38.836,48.01
39.566,44.338,41.676,37.24
41.803,29.477,50.388,37.66
49.416,27.046,57.916,43.06
58.15,34.96,57.3,41.13
59.81,43.327,49.23,26.44
43.394,32.718,49.306,29.36
37.602,15.287,56.952,36.5
44.581,18.995,59.279,34.89
50.997,26.888,43.627,20.99
52.573,22.484,42.187,23.93
53.685,14.792,48.004,32.36
59.826,19.623,56.595,25.4
65.097,28.694,59.562,15.07
57.217,21.443,43.187,20.51
54.333,13.772,40.563,29
58.659,17.637,45.321,29.19
66.848,27.364,55.58,16.86
64.895,13.968,60.345,23.08
52.553,8.35,47.825,29.3
47.947,15.529,41.935,17.98
54.161,25.576,50.775,0.37
63.046,13.278,57.063,9.43
62.203,-2.577,56.486,17.18
54.254,0.696,52.771,5.07
55.106,12.7,53.45,-5.44
63.664,7.368,59.639,2.78
67.652,-2.584,65.56,14.08
66.276,4.257,65.619,7.21
65.229,14.499,62.791,-5.11
68.946,2.404,65.654,5.19
73.17,-8.631,73.082,14.02
71.485,-1.347,72.456,6.73
70.344,10,51.559,-6.92
71.209,6.091,45.169,2.06
74.685,-5.555,46.74,9.74
73.695,3.329,56.608,0.06
66.839,15.3,59.523,-13.13
65.642,3.553,42.051,1.78
70.37,-9.047,39.316,11.26
69.593,-4.301,47.264,0.78
67.226,6.849,52.688,-9.01
68.902,-1.221,53.686,2.34
73.087,-11.62,50.91,11.12
72.8,-0.027,53.922,1.7
65.808,11.328,59.808,-10.17
64.222,5.03,64.081,-4.09
68.429,-5.36,63.086,5.75
73.147,1.911,64.958,-2.22
59.898,14.249,67.708,-10.91
52.981,8.359,70.599,-2.38
54.927,-5.788,70.73,6.64
58.249,3.119,65.608,-1.88
53.676,14.328,59.687,-13.18
54.311,6.772,62.856,-1.96
57.977,-8.598,64.646,7.71
60.736,-0.541,56.66,-3.2
51.81,12.64,50.722,-10.85
47.24,6.149,53.041,-0.71
48.898,-6.882,56.967,9.06
54.904,1.956,55.339,-4.63
56.056,14.189,47.036,-13.03
43.351,7.146,49.494,-2.19
41.078,-5.961,53.783,7.39
46.656,-2.855,55.136,-2.2
54.805,8.877,47.498,-12.8
45.091,1.214,48.98,-2.59
34.963,-10.549,54.375,4.53
34.341,-2.847,55.257,-2.27
40.2,8.531,49.025,-17.41
36.534,0.881,38.958,-28.7
20.195,-16.111,42.221,-21.02
21.563,-27.275,45.05,-25.65
31.413,-22.273,32.438,-36.91
33.938,-23.822,23.394,-40
20.662,-33.049,28.696,-30.79
23.09,-42.683,36.1,-34.59
32.405,-38.995,25.344,-43.02
33.431,-32.06,14.279,-52.68
17.848,-34.519,22.999,-47.34
19.652,-43.554,29.114,-34.12
28.516,-50.23,20.758,-33.83
37.403,-39.636,14.424,-41.85
26.984,-34.769,22.278,-49.94
20.163,-40.394,31.028,-50.54
23.115,-48.584,20.888,-53.43
30.875,-58.271,4.153,-57.6
20.25,-59.495,8.973,-67.51
5.962,-56.887,17.353,-69.28
10.36,-59.827,7.933,-67.37
21.251,-64.647,7.125,-69.17
17.777,-70.016,17.338,-74.76
4.221,-75.722,24.866,-78.68
10.338,-76.514,11.044,-77.05
19.477,-73.147,0.564,-75.17
11.966,-72.85,5.805,-77.72
7.901,-77.351,18.269,-82.36
16.307,-80.845,19.615,-81.53
27.914,-79.503,11.828,-77.61
19.79,-73.568,12.959,-76.63
3.136,-71.394,22.679,-80.36
11.367,-75.266,22.553,-78.38
19.37,-78.864,13.76,-56.49
9.417,-72.268,17.253,-52.1
-1.207,-61.037,25.206,-58.18
8.829,-58.873,12.594,-63.41
18.478,-61.736,3.691,-63.28
13.221,-67.471,10.11,-59.65
-1.603,-66.141,19.644,-61.93
5.88,-61.559,6.971,-68.02
15.207,-61.655,-1.329,-69.03
11.3,-68.93,5.513,-56.23
2.357,-73.114,15.338,-52.66
6.918,-57.618,7.539,-57.26
15.857,-51.982,-5.155,-66.45
8.985,-55.84,4.026,-67.1
-2.075,-59.217,13.02,-52.55
1.833,-55.286,6.152,-36.4
14.55,-47.563,-4.135,-37.96
2.542,-50.284,5.111,-45.86
-6.064,-54.903,16.484,-46.56
2.022,-54.062,4.655,-32.97
12.2,-44.136,-7.819,-35.29
4.393,-45.226,-0.576,-44.26
-6.859,-51.081,10.852,-45.6
-1.965,-53.082,3.676,-39.51
8.708,-53.878,-8.874,-44.47
0.146,-50.506,0.388,-50.87
-9.434,-51.969,12.732,-49.49
-3.743,-57.598,5.608,-37.87
8.18,-55.762,-7.245,-40.45
-0.881,-45.164,1.443,-46.88
-9.979,-42.95,12.668,-52.65
-4.413,-47.339,5.592,-41.03
1.299,-54.246,-6.491,-31.73
-10.836,-50.527,0.637,-37.27
-21.488,-44.187,4.628,-46.31
-13.208,-46.355,-8.382,-42.61
-0.016,-54.129,-19.027,-36.6
-7.015,-56.593,-10.602,-41.84
-14.134,-40.692,2.801,-46.77
-8.238,-38.269,-5.851,-50.14
-5.509,-41.564,-16.074,-47.59
-14.498,-53.338,-6.34,-52.08
-25.29,-51.744,3.622,-58.39
-17.728,-34.261,-4.912,-56.61
-0.74,-32.723,-14.781,-41.19
-1.99,-40.952,-11.508,-40.72
-17.392,-44.728,-18.524,-48.22
-27.581,-34.248,-30.8,-48.41
-20.555,-32.343,-33.757,-37.93
-20.134,-39,-31.539,-37.22
-28.551,-45.571,-39.046,-45.48
-36.742,-31.276,-43.903,-44.98
-39.026,-30.071,-33.131,-33.25
-28.578,-36.949,-32.055,-32.89
-30.156,-41.266,-40.986,-42.38
-38.914,-28.038,-47.294,-44.18
-41.598,-27.694,-35.526,-30.35
-33.761,-37.293,-32.47,-31.65
-32.36,-43.613,-41.438,-39.7
-44.042,-31.268,-46.071,-40.12
-49.557,-28.878,-32.288,-25.71
-37.56,-34.63,-31.877,-29.13
-34.947,-39.951,-44.056,-35.78
-42.128,-24.604,-49.351,-33.66
-49.457,-18.241,-47.561,-20.27
-52.826,-24.218,-47.794,-23.13
-51.611,-32.592,-54.597,-30.24
-55.722,-22.162,-60.886,-24.57
-60.95,-7.914,-54.794,-20.75
-61.81,-14.381,-56.344,-27.29
-59.525,-23.002,-63.292,-35.55
-62.178,-14.829,-68.75,-21.74
-65.353,-16.993,-63.034,-14.57
-69.874,-24.275,-58.451,-23.32
-65.862,-25.62,-60.803,-27.6
-61.39,-18.524,-66.64,-15.05
-64.541,-24.804,-68.936,-11
-68.262,-30.009,-64.852,-20.44
-68.312,-19.308,-65.681,-25.75
-63.55,-3.325,-71.944,-9.61
